Sample,X,Y,Z
386,-0.1154785156,-0.0024414062,0.8750000000
387,-0.1066894531,-0.0029296875,0.8815917969
388,-0.1103515625,0.0058593750,0.8732910156
389,-0.1105957031,-0.0019531250,0.8720703125
390,-0.1110839844,0.0063476562,0.8793945312
391,-0.1137695312,-0.0019531250,0.8803710938
392,-0.1115722656,0.0019531250,0.8828125000
393,-0.1149902344,-0.0026855469,0.8757324219
394,-0.1169433594,0.0034179688,0.8840332031
395,-0.1181640625,-0.0017089844,0.8757324219
396,-0.1086425781,0.0012207031,0.8762207031
397,-0.1140136719,0.0012207031,0.8745117188
398,-0.1088867188,-0.0034179688,0.8762207031
399,-0.1154785156,-0.0004882812,0.8698730469
400,-0.1184082031,0.0024414062,0.8798828125
401,-0.1174316406,0.0017089844,0.8752441406
402,-0.1103515625,-0.0034179688,0.8732910156
403,-0.1137695312,0.0031738281,0.8723144531
404,-0.1123046875,0.0002441406,0.8771972656
405,-0.1137695312,0.0002441406,0.8759765625
406,-0.1179199219,0.0014648438,0.8784179688
407,-0.1140136719,0.0021972656,0.8762207031
408,-0.1125488281,0.0029296875,0.8740234375
409,-0.1123046875,0.0102539062,0.8730468750
410,-0.1147460938,0.0021972656,0.8737792969
411,-0.1164550781,0.0031738281,0.8776855469
412,-0.1191406250,0.0029296875,0.8706054688
413,-0.1159667969,0.0075683594,0.8791503906
414,-0.1169433594,0.0043945312,0.8833007812
415,-0.1081542969,0.0012207031,0.8840332031
416,-0.1093750000,0.0048828125,0.8808593750
417,-0.1086425781,-0.0051269531,0.8779296875
418,-0.1071777344,0.0000000000,0.8723144531
419,-0.1064453125,-0.0036621094,0.8642578125
420,-0.1120605469,-0.0009765625,0.8762207031
421,-0.1054687500,0.0031738281,0.8735351562
422,-0.1081542969,-0.0009765625,0.8845214844
423,-0.1149902344,0.0012207031,0.8718261719
424,-0.1149902344,-0.0031738281,0.8645019531
425,-0.1149902344,-0.0007324219,0.8764648438
426,-0.1110839844,-0.0002441406,0.8723144531
427,-0.1164550781,0.0051269531,0.8854980469
428,-0.1154785156,0.0034179688,0.8781738281
429,-0.1157226562,-0.0043945312,0.8715820312
430,-0.1113281250,-0.0029296875,0.8830566406
431,-0.1091308594,0.0046386719,0.8771972656
432,-0.1166992188,-0.0019531250,0.8759765625
433,-0.1123046875,0.0009765625,0.8811035156
434,-0.1149902344,0.0039062500,0.8815917969
435,-0.1130371094,0.0000000000,0.8781738281
436,-0.1081542969,-0.0002441406,0.8750000000
437,-0.1113281250,-0.0017089844,0.8618164062
438,-0.1113281250,0.0026855469,0.8806152344
439,-0.1113281250,0.0029296875,0.8776855469
440,-0.1118164062,0.0039062500,0.8750000000
441,-0.1079101562,0.0019531250,0.8764648438
442,-0.1064453125,0.0061035156,0.8811035156
443,-0.1098632812,0.0021972656,0.8676757812
444,-0.1110839844,-0.0004882812,0.8776855469
445,-0.1049804688,-0.0007324219,0.8735351562
446,-0.1103515625,-0.0014648438,0.8801269531
447,-0.1171875000,0.0039062500,0.8740234375
448,-0.1149902344,0.0007324219,0.8732910156
449,-0.1179199219,0.0007324219,0.8789062500
450,-0.1188964844,-0.0107421875,0.8806152344
451,-0.1235351562,-0.0073242188,0.8859863281
452,-0.1274414062,-0.0017089844,0.8842773438
453,-0.1291503906,-0.0024414062,0.8769531250
454,-0.1240234375,0.0004882812,0.8779296875
455,-0.1193847656,0.0004882812,0.8735351562
456,-0.1066894531,0.0036621094,0.8693847656
457,-0.1035156250,0.0056152344,0.8657226562
458,-0.1037597656,0.0024414062,0.8679199219
459,-0.1062011719,0.0043945312,0.8769531250
460,-0.1069335938,-0.0007324219,0.8767089844
461,-0.1088867188,0.0029296875,0.8757324219
462,-0.1123046875,0.0063476562,0.8754882812
463,-0.1069335938,0.0031738281,0.8737792969
464,-0.1193847656,0.0048828125,0.8730468750
465,-0.1091308594,0.0036621094,0.8679199219
466,-0.1047363281,-0.0039062500,0.8767089844
467,-0.1125488281,0.0043945312,0.8737792969
468,-0.1101074219,0.0012207031,0.8823242188
469,-0.1137695312,0.0009765625,0.8701171875
470,-0.1159667969,-0.0026855469,0.8762207031
471,-0.1132812500,0.0024414062,0.8789062500
472,-0.1103515625,0.0029296875,0.8798828125
473,-0.1101074219,0.0036621094,0.8676757812
474,-0.1108398438,0.0009765625,0.8872070312
475,-0.1079101562,-0.0034179688,0.8791503906
476,-0.1142578125,-0.0053710938,0.8706054688
477,-0.1162109375,-0.0075683594,0.8789062500
478,-0.1132812500,-0.0026855469,0.8820800781
479,-0.1054687500,-0.0092773438,0.8728027344
480,-0.1086425781,0.0017089844,0.8762207031
481,-0.1086425781,-0.0051269531,0.8698730469
482,-0.1083984375,0.0095214844,0.8720703125
483,-0.1049804688,0.0012207031,0.8654785156
484,-0.1101074219,0.0007324219,0.8759765625
485,-0.1093750000,0.0078125000,0.8747558594
486,-0.1076660156,0.0061035156,0.8713378906
487,-0.1142578125,0.0021972656,0.8793945312
488,-0.1015625000,0.0073242188,0.8745117188
489,-0.1142578125,0.0070800781,0.8742675781
490,-0.1142578125,0.0017089844,0.8764648438
491,-0.1057128906,0.0002441406,0.8774414062
492,-0.1083984375,0.0007324219,0.8718261719
493,-0.1145019531,0.0024414062,0.8796386719
494,-0.1159667969,0.0019531250,0.8708496094
495,-0.1093750000,0.0000000000,0.8723144531
496,-0.1105957031,0.0004882812,0.8750000000
497,-0.1071777344,0.0021972656,0.8647460938
498,-0.1079101562,-0.0041503906,0.8674316406
499,-0.1115722656,0.0036621094,0.8732910156
500,-0.1108398438,0.0068359375,0.8710937500
501,-0.1003417969,0.0048828125,0.8776855469
502,-0.0971679688,0.0109863281,0.8708496094
503,-0.1020507812,0.0114746094,0.8676757812
504,-0.0996093750,-0.0009765625,0.8698730469
505,-0.1096191406,0.0014648438,0.8659667969
506,-0.1083984375,0.0007324219,0.8774414062
507,-0.1108398438,0.0019531250,0.8701171875
508,-0.1103515625,0.0029296875,0.8732910156
