Sample,X,Y,Z
2982,0.4411621094,0.0085449219,0.7812500000
2983,0.4384765625,0.0036621094,0.7763671875
2994,0.4475097656,0.0131835938,0.7751464844
2995,0.4570312500,0.0139160156,0.7695312500
3006,0.4599609375,0.0178222656,0.7668457031
3012,0.4562988281,0.0212402344,0.7631835938
3013,0.4594726562,0.0200195312,0.7709960938
3024,0.4577636719,0.0212402344,0.7653808594
3025,0.4670410156,0.0256347656,0.7573242188
3036,0.4663085938,0.0305175781,0.7580566406
3037,0.4633789062,0.0258789062,0.7592773438
3048,0.4648437500,0.0227050781,0.7663574219
3054,0.4692382812,0.0187988281,0.7475585938
3055,0.4733886719,0.0183105469,0.7343750000
3066,0.4743652344,0.0192871094,0.7390136719
3067,0.4721679688,0.0170898438,0.7436523438
3078,0.4785156250,0.0249023438,0.7363281250
3084,0.4687500000,0.0212402344,0.7473144531
3085,0.4741210938,0.0207519531,0.7553710938
3096,0.4733886719,0.0251464844,0.7514648438
3097,0.4667968750,0.0148925781,0.7558593750
3108,0.4685058594,0.0209960938,0.7636718750
3114,0.4748535156,0.0173339844,0.7656250000
3115,0.4692382812,0.0249023438,0.7619628906
3126,0.4672851562,0.0119628906,0.7714843750
3127,0.4755859375,0.0100097656,0.7700195312
3138,0.4699707031,0.0166015625,0.7697753906
3139,0.4692382812,0.0092773438,0.7736816406
3150,0.4665527344,0.0090332031,0.7802734375
3156,0.4616699219,0.0131835938,0.7722167969
3157,0.4582519531,0.0041503906,0.7849121094
3168,0.4548339844,0.0061035156,0.7756347656
3169,0.4609375000,0.0002441406,0.7756347656
3180,0.4616699219,0.0002441406,0.7761230469
3186,0.4580078125,-0.0039062500,0.7814941406
3187,0.4577636719,-0.0063476562,0.7746582031
3198,0.4509277344,-0.0036621094,0.7836914062
3199,0.4606933594,-0.0056152344,0.7795410156
3210,0.4660644531,-0.0092773438,0.7824707031
3216,0.4660644531,-0.0070800781,0.7866210938
3217,0.4638671875,-0.0017089844,0.7753906250
3228,0.4653320312,0.0051269531,0.7780761719
3229,0.4692382812,0.0104980469,0.7731933594
3240,0.4677734375,0.0117187500,0.7819824219
3241,0.4685058594,0.0119628906,0.7783203125
3252,0.4667968750,0.0151367188,0.7841796875
3253,0.4780273438,0.0166015625,0.7795410156
3264,0.4689941406,0.0195312500,0.7805175781
3270,0.4714355469,0.0185546875,0.7802734375
3271,0.4736328125,0.0175781250,0.7851562500
3282,0.4697265625,0.0175781250,0.7800292969
3283,0.4677734375,0.0200195312,0.7805175781
3294,0.4689941406,0.0102539062,0.7739257812
3300,0.4711914062,0.0107421875,0.7785644531
3301,0.4653320312,0.0126953125,0.7810058594
3312,0.4689941406,0.0112304688,0.7907714844
3313,0.4609375000,0.0048828125,0.7927246094
3324,0.4645996094,0.0144042969,0.7790527344
3325,0.4604492188,0.0119628906,0.7861328125
3336,0.4702148438,0.0112304688,0.7890625000
3342,0.4653320312,0.0083007812,0.7851562500
3343,0.4575195312,0.0131835938,0.7832031250
3354,0.4655761719,0.0080566406,0.7761230469
3355,0.4602050781,0.0136718750,0.7846679688
3366,0.4663085938,0.0075683594,0.7844238281
3372,0.4663085938,0.0078125000,0.7824707031
3373,0.4670410156,0.0126953125,0.7800292969
3384,0.4667968750,0.0156250000,0.7805175781
3385,0.4650878906,0.0095214844,0.7841796875
3396,0.4694824219,0.0173339844,0.7905273438
3402,0.4753417969,0.0183105469,0.7854003906
3403,0.4750976562,0.0212402344,0.7844238281
3414,0.4719238281,0.0168457031,0.7851562500
